send_id,user_id,send_date,send_number,opened,acted_on,variant
c00001,u0321,2026-05-06,1,false,false,comeback
c00002,u0321,2026-05-07,2,true,false,comeback
c00003,u0321,2026-05-08,3,true,false,comeback
c00004,u0321,2026-05-09,4,false,false,comeback
c00005,u0322,2026-05-06,1,false,true,comeback
c00006,u0322,2026-05-07,2,true,false,comeback
c00007,u0322,2026-05-08,3,true,true,comeback
c00008,u0322,2026-05-09,4,false,true,comeback
c00009,u0323,2026-05-06,1,false,true,comeback
c00010,u0323,2026-05-07,2,true,true,comeback
c00011,u0323,2026-05-08,3,true,false,comeback
c00012,u0323,2026-05-09,4,false,false,comeback
c00013,u0324,2026-05-06,1,false,false,comeback
c00014,u0324,2026-05-07,2,true,false,comeback
c00015,u0324,2026-05-08,3,true,false,comeback
c00016,u0324,2026-05-09,4,true,false,comeback
c00017,u0325,2026-05-06,1,false,false,comeback
c00018,u0325,2026-05-07,2,true,false,comeback
c00019,u0325,2026-05-08,3,true,false,comeback
c00020,u0325,2026-05-09,4,true,false,comeback
c00021,u0326,2026-05-06,1,false,false,comeback
c00022,u0326,2026-05-07,2,true,false,comeback
c00023,u0326,2026-05-08,3,true,false,comeback
c00024,u0326,2026-05-09,4,true,false,comeback
c00025,u0327,2026-05-06,1,false,false,comeback
c00026,u0327,2026-05-07,2,true,false,comeback
c00027,u0327,2026-05-08,3,true,true,comeback
c00028,u0327,2026-05-09,4,true,true,comeback
c00029,u0328,2026-05-06,1,false,false,comeback
c00030,u0328,2026-05-07,2,true,false,comeback
c00031,u0328,2026-05-08,3,true,false,comeback
c00032,u0328,2026-05-09,4,true,true,comeback
c00033,u0329,2026-05-06,1,true,false,comeback
c00034,u0329,2026-05-07,2,true,false,comeback
c00035,u0329,2026-05-08,3,true,false,comeback
c00036,u0329,2026-05-09,4,false,false,comeback
c00037,u0330,2026-05-06,1,false,false,comeback
c00038,u0330,2026-05-07,2,true,false,comeback
c00039,u0330,2026-05-08,3,true,false,comeback
c00040,u0330,2026-05-09,4,false,false,comeback
c00041,u0331,2026-05-06,1,false,false,comeback
c00042,u0331,2026-05-07,2,true,true,comeback
c00043,u0331,2026-05-08,3,false,false,comeback
c00044,u0331,2026-05-09,4,true,false,comeback
c00045,u0332,2026-05-06,1,false,false,comeback
c00046,u0332,2026-05-07,2,true,false,comeback
c00047,u0332,2026-05-08,3,true,false,comeback
c00048,u0332,2026-05-09,4,true,false,comeback
c00049,u0333,2026-05-06,1,false,false,comeback
c00050,u0333,2026-05-07,2,true,false,comeback
c00051,u0333,2026-05-08,3,true,true,comeback
c00052,u0333,2026-05-09,4,false,false,comeback
c00053,u0334,2026-05-06,1,false,false,comeback
c00054,u0334,2026-05-07,2,false,false,comeback
c00055,u0334,2026-05-08,3,true,false,comeback
c00056,u0334,2026-05-09,4,false,false,comeback
c00057,u0335,2026-05-06,1,false,false,comeback
c00058,u0335,2026-05-07,2,true,true,comeback
c00059,u0335,2026-05-08,3,false,false,comeback
c00060,u0335,2026-05-09,4,true,false,comeback
