nudge_id,user_id,nudge_type,sent_date,opened,acted_on
n00001,u0002,streak_lost,2026-04-09,false,false
n00002,u0006,streak_lost,2026-04-09,false,false
n00003,u0008,streak_lost,2026-04-09,false,false
n00004,u0011,streak_lost,2026-04-09,false,false
n00005,u0012,streak_lost,2026-04-09,false,false
n00006,u0020,streak_lost,2026-04-09,false,false
n00007,u0022,streak_lost,2026-04-09,false,false
n00008,u0023,streak_lost,2026-04-09,true,false
n00009,u0024,streak_lost,2026-04-09,false,false
n00010,u0030,streak_lost,2026-04-09,true,false
n00011,u0035,streak_lost,2026-04-09,false,false
n00012,u0036,streak_lost,2026-04-09,false,false
n00013,u0047,streak_lost,2026-04-09,true,false
n00014,u0049,streak_lost,2026-04-09,true,false
n00015,u0052,streak_lost,2026-04-09,false,false
n00016,u0053,streak_lost,2026-04-09,false,false
n00017,u0054,streak_lost,2026-04-09,false,false
n00018,u0062,streak_lost,2026-04-09,false,false
n00019,u0064,streak_lost,2026-04-09,false,false
n00020,u0066,streak_lost,2026-04-09,false,false
n00021,u0069,streak_lost,2026-04-09,false,false
n00022,u0071,streak_lost,2026-04-09,false,false
n00023,u0074,streak_lost,2026-04-09,false,false
n00024,u0081,streak_lost,2026-04-16,false,false
n00025,u0082,streak_lost,2026-04-16,false,false
n00026,u0095,streak_lost,2026-04-16,false,false
n00027,u0096,streak_lost,2026-04-16,true,false
n00028,u0098,streak_lost,2026-04-16,true,false
n00029,u0101,streak_lost,2026-04-16,false,false
n00030,u0102,streak_lost,2026-04-16,false,false
n00031,u0104,streak_lost,2026-04-16,true,false
n00032,u0105,streak_lost,2026-04-16,false,false
n00033,u0106,streak_lost,2026-04-16,false,false
n00034,u0107,streak_lost,2026-04-16,true,false
n00035,u0111,streak_lost,2026-04-16,false,false
n00036,u0116,streak_lost,2026-04-16,true,false
n00037,u0121,streak_lost,2026-04-16,false,false
n00038,u0129,streak_lost,2026-04-16,false,false
n00039,u0130,streak_lost,2026-04-16,false,false
n00040,u0131,streak_lost,2026-04-16,false,false
n00041,u0136,streak_lost,2026-04-16,false,false
n00042,u0138,streak_lost,2026-04-16,false,false
n00043,u0139,streak_lost,2026-04-16,false,false
n00044,u0140,streak_lost,2026-04-16,false,false
n00045,u0141,streak_lost,2026-04-16,false,false
n00046,u0143,streak_lost,2026-04-16,false,false
n00047,u0144,streak_lost,2026-04-16,false,false
n00048,u0146,streak_lost,2026-04-16,true,false
n00049,u0148,streak_lost,2026-04-16,false,false
n00050,u0153,streak_lost,2026-04-16,false,false
n00051,u0154,streak_lost,2026-04-16,true,false
n00052,u0157,streak_lost,2026-04-16,false,false
n00053,u0158,streak_lost,2026-04-16,false,false
n00054,u0160,streak_lost,2026-04-16,false,false
n00055,u0161,streak_lost,2026-04-23,false,false
n00056,u0165,streak_lost,2026-04-23,false,false
n00057,u0166,streak_lost,2026-04-23,false,false
n00058,u0167,streak_lost,2026-04-23,false,false
n00059,u0169,streak_lost,2026-04-23,false,false
n00060,u0171,streak_lost,2026-04-23,false,false
n00061,u0173,streak_lost,2026-04-23,false,false
n00062,u0175,streak_lost,2026-04-23,false,false
n00063,u0176,streak_lost,2026-04-23,false,false
n00064,u0177,streak_lost,2026-04-23,false,false
n00065,u0178,streak_lost,2026-04-23,false,false
n00066,u0183,streak_lost,2026-04-23,false,false
n00067,u0188,streak_lost,2026-04-23,false,false
n00068,u0194,streak_lost,2026-04-23,false,false
n00069,u0200,streak_lost,2026-04-23,false,false
n00070,u0201,streak_lost,2026-04-23,false,false
n00071,u0202,streak_lost,2026-04-23,false,false
n00072,u0203,streak_lost,2026-04-23,false,false
n00073,u0204,streak_lost,2026-04-23,false,false
n00074,u0205,streak_lost,2026-04-23,false,false
n00075,u0208,streak_lost,2026-04-23,true,false
n00076,u0213,streak_lost,2026-04-23,false,false
n00077,u0219,streak_lost,2026-04-23,false,false
n00078,u0221,streak_lost,2026-04-23,false,false
n00079,u0223,streak_lost,2026-04-23,false,false
n00080,u0224,streak_lost,2026-04-23,false,false
n00081,u0225,streak_lost,2026-04-23,true,false
n00082,u0230,streak_lost,2026-04-23,true,false
n00083,u0232,streak_lost,2026-04-23,false,false
n00084,u0233,streak_lost,2026-04-23,true,false
n00085,u0235,streak_lost,2026-04-23,false,false
n00086,u0236,streak_lost,2026-04-23,true,false
n00087,u0237,streak_lost,2026-04-23,false,false
n00088,u0246,streak_lost,2026-04-30,false,false
n00089,u0247,streak_lost,2026-04-30,true,false
n00090,u0250,streak_lost,2026-04-30,true,false
n00091,u0251,streak_lost,2026-04-30,false,false
n00092,u0256,streak_lost,2026-04-30,false,false
n00093,u0257,streak_lost,2026-04-30,true,false
n00094,u0259,streak_lost,2026-04-30,false,false
n00095,u0260,streak_lost,2026-04-30,false,false
n00096,u0265,streak_lost,2026-04-30,false,false
n00097,u0266,streak_lost,2026-04-30,false,false
n00098,u0267,streak_lost,2026-04-30,false,false
n00099,u0270,streak_lost,2026-04-30,false,false
n00100,u0274,streak_lost,2026-04-30,false,false
n00101,u0277,streak_lost,2026-04-30,false,false
n00102,u0279,streak_lost,2026-04-30,false,false
n00103,u0281,streak_lost,2026-04-30,false,false
n00104,u0285,streak_lost,2026-04-30,true,false
n00105,u0286,streak_lost,2026-04-30,true,false
n00106,u0288,streak_lost,2026-04-30,false,false
n00107,u0292,streak_lost,2026-04-30,false,false
n00108,u0295,streak_lost,2026-04-30,false,false
n00109,u0298,streak_lost,2026-04-30,false,false
n00110,u0299,streak_lost,2026-04-30,true,false
n00111,u0303,streak_lost,2026-04-30,false,false
n00112,u0305,streak_lost,2026-04-30,false,false
n00113,u0310,streak_lost,2026-04-30,false,false
n00114,u0311,streak_lost,2026-04-30,false,false
n00115,u0314,streak_lost,2026-04-30,false,false
n00116,u0318,streak_lost,2026-04-30,false,false
n00117,u0321,comeback_screen,2026-05-07,false,true
n00118,u0322,comeback_screen,2026-05-07,true,true
n00119,u0335,comeback_screen,2026-05-07,true,true
n00120,u0337,comeback_screen,2026-05-07,false,false
n00121,u0340,comeback_screen,2026-05-07,false,true
n00122,u0341,comeback_screen,2026-05-07,false,false
n00123,u0347,comeback_screen,2026-05-07,false,false
n00124,u0348,comeback_screen,2026-05-07,true,false
n00125,u0349,comeback_screen,2026-05-07,false,false
n00126,u0350,comeback_screen,2026-05-07,true,false
n00127,u0351,comeback_screen,2026-05-07,false,true
n00128,u0352,comeback_screen,2026-05-07,false,true
n00129,u0354,comeback_screen,2026-05-07,false,true
n00130,u0355,comeback_screen,2026-05-07,false,false
n00131,u0358,comeback_screen,2026-05-07,false,false
n00132,u0359,comeback_screen,2026-05-07,true,true
n00133,u0363,comeback_screen,2026-05-07,true,true
n00134,u0364,comeback_screen,2026-05-07,true,false
n00135,u0366,comeback_screen,2026-05-07,false,true
n00136,u0367,comeback_screen,2026-05-07,false,false
n00137,u0372,streak_lost,2026-05-07,false,false
n00138,u0373,streak_lost,2026-05-07,false,false
n00139,u0374,streak_lost,2026-05-07,false,false
n00140,u0375,streak_lost,2026-05-07,false,false
n00141,u0380,streak_lost,2026-05-07,false,false
n00142,u0383,streak_lost,2026-05-07,false,false
n00143,u0385,streak_lost,2026-05-07,false,false
n00144,u0386,streak_lost,2026-05-07,true,false
n00145,u0388,streak_lost,2026-05-07,false,false
n00146,u0391,streak_lost,2026-05-07,false,false
n00147,u0396,streak_lost,2026-05-07,false,false
n00148,u0400,streak_lost,2026-05-07,false,false
n00149,u0401,streak_lost,2026-05-07,false,false
n00150,u0402,streak_lost,2026-05-07,false,false
n00151,u0403,streak_lost,2026-05-07,true,false
n00152,u0406,streak_lost,2026-05-07,false,false
n00153,u0407,streak_lost,2026-05-07,false,false
n00154,u0408,streak_lost,2026-05-07,false,false
n00155,u0409,streak_lost,2026-05-07,false,false
n00156,u0410,streak_lost,2026-05-07,false,false
n00157,u0413,streak_lost,2026-05-07,false,false
n00158,u0414,streak_lost,2026-05-07,false,false
n00159,u0415,streak_lost,2026-05-07,false,false
n00160,u0417,streak_lost,2026-05-07,true,false
n00161,u0418,streak_lost,2026-05-07,false,false
