session_id,user_id,session_date,session_duration_seconds,screen
s00001,u0001,2026-04-06,419,streak
s00002,u0001,2026-04-07,84,streak
s00003,u0001,2026-04-08,256,streak
s00004,u0001,2026-04-09,55,home
s00005,u0002,2026-04-06,372,streak
s00006,u0002,2026-04-07,319,streak
s00007,u0002,2026-04-08,152,lesson
s00008,u0002,2026-04-09,341,lesson
s00009,u0003,2026-04-06,150,home
s00010,u0003,2026-04-07,92,lesson
s00011,u0003,2026-04-08,234,home
s00012,u0003,2026-04-09,223,home
s00013,u0004,2026-04-06,233,home
s00014,u0004,2026-04-07,322,home
s00015,u0004,2026-04-08,361,lesson
s00016,u0004,2026-04-09,225,streak
s00017,u0005,2026-04-06,159,home
s00018,u0005,2026-04-07,234,home
s00019,u0005,2026-04-08,272,lesson
s00020,u0005,2026-04-09,226,streak
s00021,u0006,2026-04-06,371,streak
s00022,u0006,2026-04-07,351,home
s00023,u0006,2026-04-08,127,streak
s00024,u0006,2026-04-09,413,streak
s00025,u0007,2026-04-06,68,lesson
s00026,u0007,2026-04-07,56,home
s00027,u0007,2026-04-08,245,lesson
s00028,u0007,2026-04-09,73,lesson
s00029,u0008,2026-04-06,295,streak
s00030,u0008,2026-04-07,369,lesson
s00031,u0008,2026-04-08,113,lesson
s00032,u0008,2026-04-09,111,lesson
s00033,u0009,2026-04-06,110,home
s00034,u0009,2026-04-07,292,streak
s00035,u0009,2026-04-08,64,home
s00036,u0009,2026-04-09,118,home
s00037,u0010,2026-04-06,279,streak
s00038,u0010,2026-04-07,168,streak
s00039,u0010,2026-04-08,45,streak
s00040,u0010,2026-04-09,409,streak
s00041,u0011,2026-04-06,97,lesson
s00042,u0011,2026-04-07,262,lesson
s00043,u0011,2026-04-08,272,home
s00044,u0011,2026-04-09,409,home
s00045,u0012,2026-04-06,192,streak
s00046,u0012,2026-04-07,299,streak
s00047,u0012,2026-04-08,141,streak
s00048,u0012,2026-04-09,231,home
s00049,u0013,2026-04-06,49,lesson
s00050,u0013,2026-04-07,225,home
s00051,u0013,2026-04-08,162,lesson
s00052,u0013,2026-04-09,163,home
s00053,u0014,2026-04-06,104,streak
s00054,u0014,2026-04-07,377,home
s00055,u0014,2026-04-08,321,lesson
s00056,u0014,2026-04-09,175,home
s00057,u0015,2026-04-06,142,streak
s00058,u0015,2026-04-07,199,streak
s00059,u0015,2026-04-08,383,lesson
s00060,u0015,2026-04-09,231,streak
s00061,u0016,2026-04-06,341,home
s00062,u0016,2026-04-07,157,streak
s00063,u0016,2026-04-08,152,streak
s00064,u0016,2026-04-09,76,home
s00065,u0017,2026-04-06,161,streak
s00066,u0017,2026-04-07,382,lesson
s00067,u0017,2026-04-08,149,lesson
s00068,u0017,2026-04-09,107,streak
s00069,u0018,2026-04-06,137,lesson
s00070,u0018,2026-04-07,89,home
s00071,u0018,2026-04-08,260,streak
s00072,u0018,2026-04-09,256,lesson
s00073,u0019,2026-04-06,71,home
s00074,u0019,2026-04-07,412,lesson
s00075,u0019,2026-04-08,95,lesson
s00076,u0019,2026-04-09,138,home
s00077,u0020,2026-04-06,78,home
s00078,u0020,2026-04-07,321,lesson
s00079,u0020,2026-04-08,65,home
s00080,u0020,2026-04-09,316,streak
s00081,u0021,2026-04-06,149,lesson
s00082,u0021,2026-04-07,70,lesson
s00083,u0021,2026-04-08,234,home
s00084,u0021,2026-04-09,239,home
s00085,u0022,2026-04-06,324,streak
s00086,u0022,2026-04-07,407,streak
s00087,u0022,2026-04-08,119,lesson
s00088,u0022,2026-04-09,191,home
s00089,u0023,2026-04-06,339,home
s00090,u0023,2026-04-07,297,lesson
s00091,u0023,2026-04-08,120,streak
s00092,u0023,2026-04-09,300,home
s00093,u0024,2026-04-06,331,home
s00094,u0024,2026-04-07,336,home
s00095,u0024,2026-04-08,60,streak
s00096,u0024,2026-04-09,81,streak
s00097,u0025,2026-04-06,162,lesson
s00098,u0025,2026-04-07,242,lesson
s00099,u0025,2026-04-08,383,home
s00100,u0025,2026-04-09,193,streak
s00101,u0026,2026-04-06,91,streak
s00102,u0026,2026-04-07,315,home
s00103,u0026,2026-04-08,299,home
s00104,u0026,2026-04-09,107,lesson
s00105,u0027,2026-04-06,318,lesson
s00106,u0027,2026-04-07,194,streak
s00107,u0027,2026-04-08,374,streak
s00108,u0027,2026-04-09,44,streak
s00109,u0028,2026-04-06,99,lesson
s00110,u0028,2026-04-07,420,home
s00111,u0028,2026-04-08,119,streak
s00112,u0028,2026-04-09,184,lesson
s00113,u0029,2026-04-06,290,streak
s00114,u0029,2026-04-07,66,lesson
s00115,u0029,2026-04-08,364,home
s00116,u0029,2026-04-09,181,lesson
s00117,u0030,2026-04-06,419,home
s00118,u0030,2026-04-07,322,lesson
s00119,u0030,2026-04-08,258,streak
s00120,u0030,2026-04-09,44,streak
s00121,u0031,2026-04-06,322,streak
s00122,u0031,2026-04-07,260,home
s00123,u0031,2026-04-08,61,home
s00124,u0031,2026-04-09,226,lesson
s00125,u0032,2026-04-06,167,streak
s00126,u0032,2026-04-07,92,streak
s00127,u0032,2026-04-08,326,lesson
s00128,u0032,2026-04-09,357,lesson
s00129,u0033,2026-04-06,52,lesson
s00130,u0033,2026-04-07,417,home
s00131,u0033,2026-04-08,250,lesson
s00132,u0033,2026-04-09,416,streak
s00133,u0034,2026-04-06,153,lesson
s00134,u0034,2026-04-07,275,home
s00135,u0034,2026-04-08,196,lesson
s00136,u0034,2026-04-09,154,home
s00137,u0035,2026-04-06,219,lesson
s00138,u0035,2026-04-07,300,streak
s00139,u0035,2026-04-08,387,lesson
s00140,u0035,2026-04-09,209,streak
s00141,u0036,2026-04-06,59,lesson
s00142,u0036,2026-04-07,345,home
s00143,u0036,2026-04-08,216,lesson
s00144,u0036,2026-04-09,200,streak
