user_id,acquisition_channel,signup_date,goal_set_date,platform,cohort_week,variant,broke_streak_week1,current_streak
u0001,organic,2026-04-06,2026-04-07,ios,1,,false,8
u0002,paid,2026-04-06,2026-04-07,android,1,,true,0
u0003,referral,2026-04-06,2026-04-07,ios,1,,false,7
u0004,organic,2026-04-06,2026-04-07,android,1,,false,11
u0005,paid,2026-04-06,2026-04-07,ios,1,,false,7
u0006,referral,2026-04-06,2026-04-07,android,1,,true,0
u0007,organic,2026-04-06,2026-04-07,ios,1,,false,17
u0008,paid,2026-04-06,2026-04-07,android,1,,true,0
u0009,referral,2026-04-06,2026-04-07,ios,1,,false,12
u0010,organic,2026-04-06,2026-04-07,android,1,,false,9
u0011,paid,2026-04-06,2026-04-07,ios,1,,true,0
u0012,referral,2026-04-06,2026-04-07,android,1,,true,0
u0013,organic,2026-04-06,2026-04-07,ios,1,,false,8
u0014,paid,2026-04-06,2026-04-07,android,1,,false,4
u0015,referral,2026-04-06,2026-04-07,ios,1,,false,14
u0016,organic,2026-04-06,2026-04-07,android,1,,false,8
u0017,paid,2026-04-06,2026-04-07,ios,1,,false,8
u0018,referral,2026-04-06,2026-04-07,android,1,,false,10
u0019,organic,2026-04-06,2026-04-07,ios,1,,false,13
u0020,paid,2026-04-06,2026-04-07,android,1,,true,0
u0021,referral,2026-04-06,2026-04-07,ios,1,,false,10
u0022,organic,2026-04-06,2026-04-07,android,1,,true,0
u0023,paid,2026-04-06,2026-04-07,ios,1,,true,0
u0024,referral,2026-04-06,2026-04-07,android,1,,true,0
u0025,organic,2026-04-06,2026-04-07,ios,1,,false,14
u0026,paid,2026-04-06,2026-04-07,android,1,,false,12
u0027,referral,2026-04-06,2026-04-07,ios,1,,false,5
u0028,organic,2026-04-06,2026-04-07,android,1,,false,5
u0029,paid,2026-04-06,2026-04-07,ios,1,,false,7
u0030,referral,2026-04-06,2026-04-07,android,1,,true,0
u0031,organic,2026-04-06,2026-04-07,ios,1,,false,8
u0032,paid,2026-04-06,2026-04-07,android,1,,false,6
u0033,referral,2026-04-06,2026-04-07,ios,1,,false,5
u0034,organic,2026-04-06,2026-04-07,android,1,,false,20
u0035,paid,2026-04-06,2026-04-07,ios,1,,true,0
u0036,referral,2026-04-06,2026-04-07,android,1,,true,0
u0037,organic,2026-04-06,2026-04-07,ios,1,,false,18
u0038,paid,2026-04-06,2026-04-07,android,1,,false,16
u0039,referral,2026-04-06,2026-04-07,ios,1,,false,17
u0040,organic,2026-04-06,2026-04-07,android,1,,false,16
u0041,paid,2026-04-06,2026-04-07,ios,1,,false,4
u0042,referral,2026-04-06,2026-04-07,android,1,,false,14
u0043,organic,2026-04-06,2026-04-07,ios,1,,false,3
u0044,paid,2026-04-06,2026-04-07,android,1,,false,10
u0045,referral,2026-04-06,2026-04-07,ios,1,,false,18
u0046,organic,2026-04-06,2026-04-07,android,1,,false,12
u0047,paid,2026-04-06,2026-04-07,ios,1,,true,0
u0048,referral,2026-04-06,2026-04-07,android,1,,false,7
u0049,organic,2026-04-06,2026-04-07,ios,1,,true,0
u0050,paid,2026-04-06,2026-04-07,android,1,,false,5
u0051,referral,2026-04-06,2026-04-07,ios,1,,false,9
u0052,organic,2026-04-06,2026-04-07,android,1,,true,0
u0053,paid,2026-04-06,2026-04-07,ios,1,,true,0
u0054,referral,2026-04-06,2026-04-07,android,1,,true,0
u0055,organic,2026-04-06,2026-04-07,ios,1,,false,19
u0056,paid,2026-04-06,2026-04-07,android,1,,false,12
u0057,referral,2026-04-06,2026-04-07,ios,1,,false,14
u0058,organic,2026-04-06,2026-04-07,android,1,,false,12
u0059,paid,2026-04-06,2026-04-07,ios,1,,false,3
u0060,referral,2026-04-06,2026-04-07,android,1,,false,3
u0061,organic,2026-04-06,2026-04-07,ios,1,,false,15
u0062,paid,2026-04-06,2026-04-07,android,1,,true,0
u0063,referral,2026-04-06,2026-04-07,ios,1,,false,7
u0064,organic,2026-04-06,2026-04-07,android,1,,true,0
u0065,paid,2026-04-06,2026-04-07,ios,1,,false,4
u0066,referral,2026-04-06,2026-04-07,android,1,,true,0
